run_id,run_name,sweep_id,sweep_name,run_state,category,rl_enabled,aux_enabled,kl_enabled,topology_enabled,cpb_enabled,multi_epoch_ppo,replay_buffer_enabled,lm_reward_enabled,train_iters,use_rl_loss,rl_loss_coeff,moe_aux_loss_coeff,rl_reward_type,rl_discount_factor,rl_ppo_epochs,rl_replay_buffer_size,rl_lm_reward_coeff,rl_ppo_extra_lr,rl_reward_topn,rl_ppo_entropy_coeff,rl_algorithm,rl_ppo_baseline_type,rl_critic_hidden_dims,rl_normalize_rewards,rl_use_ema_loads,rl_critic_layer_aware,rl_ppo_clip_ratio,rl_ppo_reeval,kl_loss_coeff,moe_router_topology_aware,moe_router_topology_lambda,moe_router_critical_path_bias,moe_router_critical_path_topn,moe_router_critical_path_alpha,eval_critical_path,eval_lm_loss,eval_locality_ratio,eval_wall_time_sec,train_lm_loss,train_aux_loss,train_rl_loss,train_rl_mean_reward,train_rl_policy_loss,train_rl_value_loss,train_rl_entropy_bonus,train_rl_mean_advantage,train_grad_norm,train_num_tokens_on_critical_path,hellaswag,arc_challenge,winogrande,benchmark_avg,run_url,rl_per_token_rewards,moe_router_enable_expert_bias,moe_router_score_function,moe_router_bias_update_rate
ejxllw2q,ptload_n1_rlc0.01_g0.95_noaux_norm_PPO_ent0.01_c256_r54,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_load_weighted,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4507.10009765625,4.067103385925293,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/ejxllw2q,False,,,
9flvabjf,ptbin_n1_rlc0.01_g0.95_aux0.01_norm_PPO_ent0.01_c256_r53,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,per_token_topn_binary,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3454.6201171875,3.214411735534668,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/9flvabjf,False,,,
2u5sca3c,ptbin_n1_rlc0.01_g0.95_noaux_norm_PPO_ent0.01_c256_r52,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_topn_binary,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3999.1201171875,2.9321744441986084,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/2u5sca3c,False,,,
3wy31xlx,ptbin_n6_rlc0.01_g0.2_aux0.01_norm_PPO_ent0.01_c256_r51,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,per_token_topn_binary,0.2,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3534.7900390625,2.800107955932617,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/3wy31xlx,False,,,
l2p7qd9s,ptbin_n6_rlc0.01_g0.2_noaux_norm_PPO_ent0.01_c256_r50,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_topn_binary,0.2,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4243.580078125,2.680084466934204,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/l2p7qd9s,False,,,
1q9iezjw,ptbin_n2_rlc0.01_g0.2_aux0.01_norm_PPO_ent0.01_c256_r49,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,per_token_topn_binary,0.2,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3539.2099609375,2.805306196212769,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/1q9iezjw,False,,,
6fo9f9bo,ptbin_n2_rlc0.01_g0.2_noaux_norm_PPO_ent0.01_c256_r48,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_topn_binary,0.2,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4235.2998046875,2.683307886123657,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/6fo9f9bo,False,,,
4j5allcz,crit_n1_rlc0.01_g0.2_aux0.01_norm_PPO_ent0.01_c256_r47,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,critical_path,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3567.7099609375,2.739330768585205,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/4j5allcz,False,,,
5nr432qn,crit_n1_rlc0.01_g0.2_noaux_norm_PPO_ent0.01_c256_r46,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,critical_path,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4512.56005859375,2.656599998474121,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/5nr432qn,False,,,
nb7c2ly3,ptload_n1_rlc0.01_g0.2_aux0.01_norm_PPO_ent0.01_c256_r45,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,per_token_load_weighted,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3554.449951171875,2.772132158279419,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/nb7c2ly3,False,,,
9evcpq1o,ptload_n1_rlc0.01_g0.2_noaux_norm_PPO_ent0.01_c256_r44,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_load_weighted,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4339.2900390625,2.6696557998657227,,,,,,,,,,,,,64.9,55.0,71.3,63.73,https://wandb.ai/nvr-israel/qwen3-router-training/runs/9evcpq1o,False,,,
3ocuxrdg,ptbin_n1_rlc0.01_g0.2_aux0.01_norm_PPO_ent0.01_c256_r43,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,per_token_topn_binary,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3538.929931640625,2.8139350414276123,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/3ocuxrdg,False,,,
74h9ij56,ptbin_n1_rlc0.01_g0.2_noaux_norm_PPO_ent0.01_c256_r42,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_topn_binary,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4236.68994140625,2.6847083568573,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/74h9ij56,False,,,
e5w8ddgn,ptbin_n6_rlc0.05_g0.95_aux0.01_norm_PPO_ent0.01_c256_r41,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_topn_binary,0.95,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3242.39990234375,4.152303695678711,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/e5w8ddgn,False,,,
m4xtmc6w,ptbin_n6_rlc0.05_g0.95_noaux_norm_PPO_ent0.01_c256_r40,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_topn_binary,0.95,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3494.860107421875,4.1018900871276855,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/m4xtmc6w,False,,,
hn9ckl9f,crit_n1_rlc0.05_g0.95_aux0.01_norm_PPO_ent0.01_c256_r37,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,critical_path,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3572.47998046875,2.739621162414551,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/hn9ckl9f,False,,,
46lrqcp5,crit_n1_rlc0.05_g0.95_noaux_norm_PPO_ent0.01_c256_r36,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,critical_path,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,4503.240234375,2.656896591186523,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/46lrqcp5,False,,,
6bd9pc38,crit_n1_rlc0.05_g0.95_aux0.01_norm_PPO_ent0.01_c256_r37,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,critical_path,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3565.75,2.741605281829834,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/6bd9pc38,False,,,
dtyjdrtm,ptload_n1_rlc0.05_g0.95_aux0.01_norm_PPO_ent0.01_c256_r35,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_load_weighted,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3270.7099609375,3.8467187881469727,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/dtyjdrtm,False,,,
mt6n4w3e,ptbin_n2_rlc0.05_g0.95_aux0.01_norm_PPO_ent0.01_c256_r39,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_topn_binary,0.95,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3187.929931640625,4.083402633666992,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/mt6n4w3e,False,,,
ff73cmo6,ptbin_n2_rlc0.05_g0.95_noaux_norm_PPO_ent0.01_c256_r38,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_topn_binary,0.95,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3402.550048828125,3.984271049499512,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/ff73cmo6,False,,,
w8bemq6w,ptload_n1_rlc0.05_g0.95_noaux_norm_PPO_ent0.01_c256_r34,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_load_weighted,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3666.89990234375,3.67850399017334,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/w8bemq6w,False,,,
k5i0kd7j,ptbin_n1_rlc0.05_g0.95_noaux_norm_PPO_ent0.01_c256_r32,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_topn_binary,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3470.449951171875,3.886317729949951,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/k5i0kd7j,False,,,
rvuyim17,ptbin_n1_rlc0.05_g0.95_aux0.01_norm_PPO_ent0.01_c256_r33,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_topn_binary,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3139.260009765625,4.118829250335693,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/rvuyim17,False,,,
1qickdjf,ptbin_n6_rlc0.05_g0.2_aux0.01_norm_PPO_ent0.01_c256_r31,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_topn_binary,0.2,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3461.64990234375,3.0807044506073,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/1qickdjf,False,,,
i9x6dk57,ptbin_n6_rlc0.05_g0.2_noaux_norm_PPO_ent0.01_c256_r30,11oi7yzk,per-token-rlL-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_topn_binary,0.2,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3995.93994140625,2.935257196426392,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/i9x6dk57,False,,,
zcma2v27,ptbin_n2_rlc0.05_g0.2_aux0.01_norm_PPO_ent0.01_c256_r29,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,per_token_topn_binary,0.2,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3443.929931640625,3.0823090076446533,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/zcma2v27,False,,,
s1ihgb6u,ptbin_n2_rlc0.05_g0.2_noaux_norm_PPO_ent0.01_c256_r28,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.05,0.0,per_token_topn_binary,0.2,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,5568.16015625,7.182543754577637,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/s1ihgb6u,False,,,
pzhyh4fq,crit_n1_rlc0.05_g0.2_aux0.01_norm_PPO_ent0.01_c256_r27,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.05,0.01,critical_path,0.2,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3570.0,2.738826036453247,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/pzhyh4fq,False,,,
